,target,tokens,text
390,other,"['<user>', 'according', 'to', 'police', 'the', 'suspect', 'sean', 'bell', 'was', 'also', 'in', 'violation', 'of', 'driving', 'with', 'six', 'suspensions', 'yep', 'just', 'another', 'day', 'on', 'white', 'trash', 'collapsing', 'long', 'island']",<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island
391,African,"['imagine', 'thinking', 'you', 'are', 'not', 'in', 'a', 'race', 'war', 'already', 'all', 'this', 'anti', 'white', 'propaganda', 'the', 'media', 'spits', 'out', 'everyday', 'is', 'not', 'real', 'goyim', 'go', 'tell', 'this', 'nigger', '<user>', '\u200d', 'says', 'he', 'should', 'put', 'a', 'maga', 'hat', 'on']",imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real goyim go tell this nigger <user> ‍ says he should put a maga hat on
392,African,"['i', 'am', 'not', 'how', 'many', 'people', 'are', 'away', 'of', 'george', 'webb', 'it', 'states', 'at', 'day', '<date>', 'they', 'are', 'amazing', 'it', 'watching', 'real', 'crime', 'story', 'of', 'clinton', 'and', 'coons', 'unfold', 'in', 'front', 'of', 'you', 'eyes', 'i', 'just', 'found', 'him', 'george', 'webb', 'cinton', 'haiti', 'clinton', 'cartel', 'pedo', 'pay', 'to', 'pay', 'trafficing']",i am not how many people are away of george webb it states at day <date> they are amazing it watching real crime story of clinton and coons unfold in front of you eyes i just found him george webb cinton haiti clinton cartel pedo pay to pay trafficing
393,African,"['sure', 'nigger', 'loving', 'whore', 'sure']",sure nigger loving whore sure
394,Jewish,"['i', 'am', 'a', 'proud', 'nsdap', 'member', 'nazi', 'was', 'a', 'kike', 'slur', 'i', 'will', 'not', 'wear', 'it', 'nsd', 'ap']",i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap
395,other,"['a', 'nigger', 'arguing', 'against', 'racism', 'is', 'like', 'a', 'rapefugee', 'arguing', 'against', 'borders']",a nigger arguing against racism is like a rapefugee arguing against borders
396,African,"['lol', 'seriously', 'you', 'think', 'an', 'employed', 'person', 'can', 'say', 'nigger', 'lol', 'i', 'meant', 'white', 'person', 'btw', 'get', 'real', 'go', 'ask', 'all', 'the', 'nigger', 'guys', 'on', 'south', 'park']",lol seriously you think an employed person can say nigger lol i meant white person btw get real go ask all the nigger guys on south park
397,African,"['a', 'mentally', 'ill', 'low', 'iq', 'nigger', 'goes', 'full', 'retard', 'after', 'being', 'out', 'on', 'a', 'pedestal', 'and', 'the', 'world', 'is', 'shocked']",a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked
398,Homosexual,"['<user>', 'you', 'all', 'always', 'coming', 'for', 'the', 'faggots', 'huh']",<user> you all always coming for the faggots huh
399,African,"['you', 'are', 'going', 'to', 'die', 'alone', 'surrounded', 'by', 'shitskin', 'nurses', 'who', 'steal', 'your', 'pain', 'medicine', 'it', 'what', 'you', 'deserve', 'boomer', 'nigger']",you are going to die alone surrounded by shitskin nurses who steal your pain medicine it what you deserve boomer nigger
400,other,"['kathy', 'griffin', 'is', 'the', 'ultimate', 'liberal', 'attack', 'somebody', 'and', 'suffer', 'consequences', 'and', 'she', 'is', 'the', 'victim', 'cunt', 'needs', 'to', 'have', 'some', 'dick', 'forced', 'up', 'he', 'dyke', 'ass', 'barron', 'trumps']",kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim cunt needs to have some dick forced up he dyke ass barron trumps
401,African,"['as', 'a', 'white', 'male', 'i', 'am', 'not', 'allowed', 'to', 'call', 'a', 'nigger', 'a', 'nigger', 'even', 'though', 'a', 'nigger', 'is', 'allowed', 'to', 'act', 'like', 'a', 'nigger', 'and', 'call', 'me', 'anything', 'he', 'she', 'it', 'wants', 'to', 'what', 'stupid', 'coward', 'pc', 'assholes', 'whites', 'have', 'become']",as a white male i am not allowed to call a nigger a nigger even though a nigger is allowed to act like a nigger and call me anything he she it wants to what stupid coward pc assholes whites have become
402,African,"['they', 'would', 'be', 'cracking', 'nigger', 'skulls', 'and', 'navy', 'skulls']",they would be cracking nigger skulls and navy skulls
403,Islam,"['it', 'was', 'another', 'muzrat', 'terrorist', 'attack', 'do', 'not', 'believe', 'the', 'could', 'not', 'get', 'laid', 'excuse']",it was another muzrat terrorist attack do not believe the could not get laid excuse
404,Islam,"['since', 'the', 'day', 'pak', 'muslims', 'set', 'foot', 'in', 'the', 'uk', 'they', 'have', 'been', 'raping', 'white', 'children', 'young', 'white', 'lads', 'defended', 'their', 'females', 'and', 'were', 'called', 'paki', 'bashers', 'and', 'nazis', 'unfairly', 'i', 'want', 'pak', 'community', 'deported', 'all', 'of', 'them', 'theyre', 'all', 'in', 'it', 'encouraged', 'by', 'family']",since the day pak muslims set foot in the uk they have been raping white children young white lads defended their females and were called paki bashers and nazis unfairly i want pak community deported all of them theyre all in it encouraged by family
405,African,"['watching', '<number>', 'minutes', 'and', 'the', 'lawlessness', 'of', 'nigger', 'hood', 'rats', 'the', 'chicago', 'police', 'dept', 'have', 'given', 'up', 'result', '<percent>', 'increase', 'in', 'homicides']",watching <number> minutes and the lawlessness of nigger hood rats the chicago police dept have given up result <percent> increase in homicides
406,African,"['sad', 'story', 'to', 'be', 'sure', 'on', 'a', 'side', 'note', 'some', 'guys', 'should', 'not', 'ever', 'wear', 'tank', 'tops', 'how', 'does', 'any', 'take', 'that', 'spaghetti', 'armed', 'guy', 'serious', 'dress', 'like', 'a', 'white', 'man', 'that', 'nigger', 'shit', 'unless', 'you', 'are', 'in', 'the', 'gym']",sad story to be sure on a side note some guys should not ever wear tank tops how does any take that spaghetti armed guy serious dress like a white man that nigger shit unless you are in the gym
407,other,"['beat', 'a', 'guy', 'from', 'bejing', 'in', 'the', 'world', 'jousting', 'final', 'found', 'a', 'chink', 'in', 'his', 'armour']",beat a guy from bejing in the world jousting final found a chink in his armour
408,Islam,"['holy', 'fuck', 'is', 'gab', 'filling', 'up', 'with', 'moslem', 'loving', 'retards', 'seems', 'to', 'be', 'islam', 'is', 'terror', 'islam', 'is', 'shit', 'mohammed', 'took', 'it', 'up', 'the', 'ass']",holy fuck is gab filling up with moslem loving retards seems to be islam is terror islam is shit mohammed took it up the ass
409,Jewish,"['god', 'of', 'israel', 'is', 'a', 'faggot', 'he', 'a', 'joke']",god of israel is a faggot he a joke
410,other,"['that', 'because', 'those', 'tv', 'students', 'are', 'jewish', 'actors', 'as', 'is', 'sheriff', 'israel', 'and', 'the', 'shooter', 'himself', 'the', 'spic', 'chick', 'is', 'just', 'a', 'spic']",that because those tv students are jewish actors as is sheriff israel and the shooter himself the spic chick is just a spic
411,other,"['by', 'the', 'number', 'of', 'beaners', 'in', 'the', 'background', 'i', 'suggest', 'not', 'eating', 'the', 'food', 'there', 'love', 'the', 'shirt', 'tho']",by the number of beaners in the background i suggest not eating the food there love the shirt tho
412,Jewish,"['who', 'said', 'that', 'breeders', 'can', 'not', 'be', 'fighters', 'contrary', 'to', 'what', 'scheming', 'kikes', 'will', 'tell', 'you', 'good', 'women', 'still', 'exist', 'and', 'men', 'can', 'be', 'warriors', 'and', 'fathers', 'simultaneously', 'mgtow', 'is', 'just', 'another', 'kike', 'ploy', 'to', 'discourage', 'whites', 'from', 'breeding', 'jews', 'always', 'play', 'both', 'sides', 'fighting', 'zog', 'involves', 'making', 'babies']",who said that breeders can not be fighters contrary to what scheming kikes will tell you good women still exist and men can be warriors and fathers simultaneously mgtow is just another kike ploy to discourage whites from breeding jews always play both sides fighting zog involves making babies
413,Islam,"['wearing', 'out', 'their', 'welcome', 'on', 'planet', 'earth', 'just', 'as', 'fast', 'as', 'their', 'muzrat', 'mates']",wearing out their welcome on planet earth just as fast as their muzrat mates
414,African,"['that', 'britain', 'new', 'fab', 'four', 'then', 'a', 'jew', 'a', 'nigger', 'a', 'ginger', 'a', 'bald', 'ganch', 'groovy']",that britain new fab four then a jew a nigger a ginger a bald ganch groovy
415,African,"['tl', 'dr', 'tradthot', 'nigger', 'lover', 'is', 'butthurt', 'at', 'being', 'called', 'a', 'tradthot']",tl dr tradthot nigger lover is butthurt at being called a tradthot
416,African,"['like', 'and', 'i', 'had', 'to', 'the', 'hedgehog', 'would', 'fuck', 'themselves', 'in', 'the', 'biggest', 'nut', 'niggers', 'be', 'like', 'yeet', 'bitch']",like and i had to the hedgehog would fuck themselves in the biggest nut niggers be like yeet bitch
417,African,"['what', 'do', 'you', 'think', 'is', 'more', 'likely', 'the', 'story', 'or', 'a', 'nigger', 'lied']",what do you think is more likely the story or a nigger lied
418,Islam,"['<user>', '<user>', 'another', 'pakistani', 'jihadi', 'hiding', 'behind', 'a', 'fake', 'name']",<user> <user> another pakistani jihadi hiding behind a fake name
419,African,"['when', 'asked', 'what', 'prince', 'phillip', 'thought', 'about', 'harry', 'and', 'megan', 'he', 'answered', 'i', 'have', 'no', 'problem', 'with', 'this', 'historically', 'the', 'royal', 'family', 'has', 'always', 'owned', 'a', 'nigger', 'or', 'two']",when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always owned a nigger or two
420,Homosexual,"['ass', 'in', 'the', 'air', 'lodi', 'take', 'every', 'inch', 'of', 'depravity', 'your', 'masters', 'want', 'to', 'give', 'you', 'take', 'it', 'all', 'ya', 'lil', 'faggot', 'btw', 'the', '1', 'st', 'amendment', 'applies', 'to', 'everyone', 'not', 'just', 'thin', 'skinned', 'boomer', 'queers', 'and', 'leftists', 'you', 'do', 'not', 'like', 'gab', '🐸', 'gtfo']",ass in the air lodi take every inch of depravity your masters want to give you take it all ya lil faggot btw the 1 st amendment applies to everyone not just thin skinned boomer queers and leftists you do not like gab 🐸 gtfo
421,Islam,"['<user>', '<user>', '<user>', 'atleast', 'ur', 'country', 'is', 'secular', 'pakistan', 'is', 'a', 'muslim', 'country', 'nd', 'they', 'produces', 'terrorists']",<user> <user> <user> atleast ur country is secular pakistan is a muslim country nd they produces terrorists
422,African,"['how', 'can', 'you', 'get', 'rid', 'of', 'one', 'nigger', 'and', 'replace', 'it', 'with', 'another', 'nigger', 'x', 'and', 'y', 'was', 'much', 'better', 'no', 'nigero', 'in', 'sight']",how can you get rid of one nigger and replace it with another nigger x and y was much better no nigero in sight
423,African,"['i', 'hear', 'that', 'another', 'mandela', 'nigger', 'died', 'well', 'good', 'nothing', 'makes', 'me', 'happier', 'than', 'hearing', 'about', 'dead', 'commies']",i hear that another mandela nigger died well good nothing makes me happier than hearing about dead commies
424,Jewish,"['goes', 'against', 'the', 'kike', 'narrative', 'goy']",goes against the kike narrative goy
425,Islam,"['he', 'will', 'be', 'out', 'in', 'a', 'few', 'years', 'for', 'good', 'muzzie', 'behavior', 'or', 'pardoned', 'by', 'the', 'next', 'pres']",he will be out in a few years for good muzzie behavior or pardoned by the next pres
426,African,"['a', 'profile', 'of', 'a', 'mudshark']",a profile of a mudshark
427,Homosexual,"['i', 'am', 'exhausted', 'by', 'queers', 'and', 'coloreds', 'saying', 'shit', 'like', 'yes', 'queen', 'and', 'i', 'am', 'ded', 'wtf', 'do', 'these', 'things', 'mean']",i am exhausted by queers and coloreds saying shit like yes queen and i am ded wtf do these things mean
428,Islam,"['i', 'am', 'shocked', 'a', 'moslem', 'planning', 'a', 'terror', 'attack']",i am shocked a moslem planning a terror attack
429,Homosexual,"['fuck', 'you', 'all', 'dykes']",fuck you all dykes
430,Jewish,"['europe', 'is', 'being', 'destroyed', 'by', 'the', 'kike', 'eu', 'which', 'is', 'run', 'by', 'the', 'crypto', 'kike', 'juncker', 'to', 'destroy', 'whites']",europe is being destroyed by the kike eu which is run by the crypto kike juncker to destroy whites
431,African,"['derek', 'the', 'half', 'nigger', 'is', 'mad', 'tho']",derek the half nigger is mad tho
432,Islam,"['chopra', 'is', 'a', 'curry', 'nigger', 'who', 'utters', 'meaningless', 'new', 'age', 'platitudes', 'like', 'only', 'you', 'can', 'poison', 'your', 'soul']",chopra is a curry nigger who utters meaningless new age platitudes like only you can poison your soul
433,African,"['so', 'which', 'nigger', 'was', 'philandro', 'castile', 'hard', 'to', 'keep', 'up', 'with', 'these', 'nogs']",so which nigger was philandro castile hard to keep up with these nogs
434,Jewish,"['♫', 'after', 'debris', 'settles', 'and', 'the', 'dust', 'gets', 'swept', 'off', 'young', 'hwytes', 'pick', 'up', 'where', 'big', 'a', 'had', 'left', 'off', 'right', 'when', 'kike', 'magazines', 'wrote', 'the', 'west', 'off', 'we', 'used', 'the', 'internet', 'for', 'something', 'better', 'than', 'to', 'jack', 'off', '♫']",♫ after debris settles and the dust gets swept off young hwytes pick up where big a had left off right when kike magazines wrote the west off we used the internet for something better than to jack off ♫
435,Jewish,"['i', 'probably', 'ended', 'up', 'another', 'kike', 'list', 'somewhere', 'lolz', 'yeah', 'no', 'doubt', 'plus', 'jews', 'like', 'to', 'keep', 'tabs', 'on', 'us', 'nazis', 'idk', 'why', 'it', 'not', 'as', 'though', 'we', 'are', 'coming', 'for', 'them', 'to', 'put', 'them', 'in', 'the', 'ovens', 'yet']",i probably ended up another kike list somewhere lolz yeah no doubt plus jews like to keep tabs on us nazis idk why it not as though we are coming for them to put them in the ovens yet
436,African,"['i', 'am', 'surprised', 'blacks', 'managed', 'to', 'get', 'off', 'their', 'lazy', 'nigger', 'asses', 'to', 'vote']",i am surprised blacks managed to get off their lazy nigger asses to vote
437,other,"['reagan', 'did', 'a', 'lot', 'of', 'good', 'but', 'i', 'hate', 'to', 'say', 'it', 'his', '<number>', 'amnesty', 'of', 'the', 'first', 'massive', 'illegal', 'beaner', 'wave', 'nullified', 'all', 'the', 'good', 'he', 'did', 'sure', 'he', 'may', 'have', 'spared', 'the', 'us', 'a', 'nuclear', 'holocaust', 'but', 'he', 'cursed', 'it', 'with', 'a', 'demographic', 'hispanocaust']",reagan did a lot of good but i hate to say it his <number> amnesty of the first massive illegal beaner wave nullified all the good he did sure he may have spared the us a nuclear holocaust but he cursed it with a demographic hispanocaust
438,African,"['but', 'if', 'you', 'are', 'a', 'nigger', 'you', 'can', 'beat', 'rape', 'your', 'way', 'all', 'down', 'white', 'street', 'while', 'screaming', 'i', 'hate', 'white', 'people', 'never', 'be', 'charged', 'with', 'a', 'hate', 'crime']",but if you are a nigger you can beat rape your way all down white street while screaming i hate white people never be charged with a hate crime
439,other,"['california', 'needs', 'a', 'leader', 'who', 'puts', 'deportation', 'and', 'anti', 'marxism', 'first', 'until', 'you', 'can', 'do', 'that', 'you', 'are', 'just', 'a', 'chink', 'boomercon']",california needs a leader who puts deportation and anti marxism first until you can do that you are just a chink boomercon
440,Islam,"['i', 'would', 'not', 'piss', 'on', 'a', 'moslem', 'if', 'i', 'saw', 'one', 'of', 'them', 'on', 'fire']",i would not piss on a moslem if i saw one of them on fire
441,Jewish,"['aryan', 'goddess', 'taylor', 'anti', 'kike', 'forcefield']",aryan goddess taylor anti kike forcefield
442,Jewish,"['lets', 'not', 'as', 'far', 'as', 'im', 'concerned', 'youre', 'a', 'kike', 'working', 'in', 'tel', 'aviv', 'using', 'kike', 'circular', 'non', 'argument', 'tactics', 'to', 'make', 'the', 'far', 'right', 'look', 'silly', 'as', 'an', 'effort', 'to', 'make', 'sure', 'no', 'one', 'effectively', 'opposes', 'white', 'genocide']",lets not as far as im concerned youre a kike working in tel aviv using kike circular non argument tactics to make the far right look silly as an effort to make sure no one effectively opposes white genocide
443,Islam,"['denver', 'has', 'a', 'black', 'problem', 'a', 'muzzee', 'prob', 'and', 'a', 'wetback', 'prob']",denver has a black problem a muzzee prob and a wetback prob
444,Islam,"['there', 'are', 'not', 'enough', 'police', 'and', 'fire', 'personnel', 'in', 'all', 'of', 'great', 'britain', 'to', 'put', 'out', 'the', 'fires', 'crucifying', 'a', 'muzzie', 'would', 'ignite']",there are not enough police and fire personnel in all of great britain to put out the fires crucifying a muzzie would ignite
445,Islam,"['<user>', 'he', 'is', 'infected', 'with', 'jihadi', 'virus', 'he', 'will', 'spread', 'it', 'to', 'others']",<user> he is infected with jihadi virus he will spread it to others
446,Jewish,"['other', 'than', 'ted', 'bundy', 'i', 'have', 'never', 'heard', 'of', 'a', 'violent', 'criminal', 'voting', 'republican', 'republicans', 'should', 'be', 'doing', 'everything', 'in', 'their', 'power', 'to', 'keep', 'felons', 'from', 'voting', 'and', 'if', 'kike', 'judges', 'make', 'that', 'impossible', 'keeping', 'felons', 'in', 'prison', 'imo', 'republicans', 'advocating', 'for', 'muh', 'prison', 'reform', 'is', 'political', 'suicide']",other than ted bundy i have never heard of a violent criminal voting republican republicans should be doing everything in their power to keep felons from voting and if kike judges make that impossible keeping felons in prison imo republicans advocating for muh prison reform is political suicide
447,African,"['white', 'genocide', 'sometimes', 'it', 'subtle', 'saw', 'this', 'at', 'home', 'depot', 'today', 'personally', 'i', 'think', 'the', 'nigger', 'stink', 'would', 'be', 'enough', 'to', 'keep', 'the', 'bugs', 'away']",white genocide sometimes it subtle saw this at home depot today personally i think the nigger stink would be enough to keep the bugs away
448,Jewish,"['did', 'not', 'you', 'have', 'to', 'leave', 'for', 'work', 'hours', 'ago', 'you', 'shit', 'tier', 'kike', 'lol', 'tell', 'your', 'hooknosed', 'bosses', 'to', 'send', 'someone', 'better', 'before', 'your', 'shift', 'ends']",did not you have to leave for work hours ago you shit tier kike lol tell your hooknosed bosses to send someone better before your shift ends
449,other,"['deport', 'that', 'beaner', 'spic', 'to', 'mexico']",deport that beaner spic to mexico
450,other,"['hope', 'they', 'keep', 'getting', 'hit', 'fuck', 'spics', 'what', 'has', 'any', 'spic', 'or', 'spook', 'nation', 'ever', 'contributed', 'to', 'america', 'besides', 'leeches', 'criminals', 'and', 'drugs']",hope they keep getting hit fuck spics what has any spic or spook nation ever contributed to america besides leeches criminals and drugs
451,Islam,"['muzzies', 'are', 'goathumpers', 'and', 'wifebeaters', 'and', 'the', 'goats', 'are', 'not', 'happy']",muzzies are goathumpers and wifebeaters and the goats are not happy
452,Homosexual,"['well', 'the', 'ones', 'who', 'watch', 'that', 'dyke', 'ellen', 'are', 'pretty', 'fucking', 'dumb']",well the ones who watch that dyke ellen are pretty fucking dumb
453,African,"['i', 'am', 'totally', 'sure', 'she', 'dindunuffin', 'grandpa', 'i', 'mean', 'in', 'this', 'day', 'and', 'age', 'it', 'literally', 'tyrannical', 'to', 'ask', 'that', 'your', 'woman', 'show', 'a', 'little', 'bit', 'of', 'public', 'decency', 'not', 'fuck', 'random', 'niggers', 'behind', 'your', 'back', 'and', 'care', 'if', 'her', 'child', 'is', 'actually', 'yours', 'all', 'the', 'signs', 'were', 'there', 'though']",i am totally sure she dindunuffin grandpa i mean in this day and age it literally tyrannical to ask that your woman show a little bit of public decency not fuck random niggers behind your back and care if her child is actually yours all the signs were there though
454,other,"['ricky', 'vaugh', 'sounds', 'like', 'a', 'dumb', 'filipino', 'gook', 'why', 'the', 'fuck', 'was', 'he', 'on', 'the', 'crypto', 'report']",ricky vaugh sounds like a dumb filipino gook why the fuck was he on the crypto report
455,African,"['louis', 'gutirerrez', 'another', 'dumb', 'nigger', 'in', 'a', 'suit']",louis gutirerrez another dumb nigger in a suit
456,African,"['i', 'guess', 'the', 'nigger', 'have', 'been', 'to', 'busy', 'to', 'kill', 'off', 'this', 'mudshark']",i guess the nigger have been to busy to kill off this mudshark
457,African,"['nigger', 'has', 'expressed', 'no', 'personal', 'christian', 'experiences', 'attended', 'a', 'madrassa', 'wears', 'a', 'moslem', 'wedding', 'ring', 'praises', 'the', 'shahada', 'call', 'to', 'pray', 'ports', 'a', 'moslem', 'name', 'registered', 'by', 'stepdad', 'as', 'moslem', 'indonesian', 'many', 'photos', 'of', 'him', 'in', 'moslem', 'rituals', 'garb', 'admitted', 'moslem', 'faith', 'on', 'tv']",nigger has expressed no personal christian experiences attended a madrassa wears a moslem wedding ring praises the shahada call to pray ports a moslem name registered by stepdad as moslem indonesian many photos of him in moslem rituals garb admitted moslem faith on tv
458,other,"['two', 'of', 'the', 'people', 'i', 'am', 'really', 'getting', 'sick', 'and', 'tired', 'of', 'seeing', 'as', 'guests', 'on', 'these', 'evening', 'news', 'programs', 'are', 'that', 'wild', 'eyed', 'gook', 'malkin', 'and', 'the', 'physically', 'retarded', 'jew', 'krauthammer', 'i', 'change', 'the', 'channel', 'when', 'they', 'come', 'on', 'there', 'are', 'others', 'the', 'list', 'is', 'growing']",two of the people i am really getting sick and tired of seeing as guests on these evening news programs are that wild eyed gook malkin and the physically retarded jew krauthammer i change the channel when they come on there are others the list is growing
459,Homosexual,"['now', 'you', 'see', 'why', 'god', 'told', 'his', 'people', 'to', 'kill', 'queers']",now you see why god told his people to kill queers
460,Islam,"['sadiq', 'khan', 'a', 'nasty', 'paki', 'muslim', 'said', 'this', 'is', 'part', 'and', 'parcel', 'of', 'life', 'in', 'london', 'and', 'wants', 'all', 'non', 'muslims', 'out', 'of', 'london', 'so', 'he', 'can', 'bring', 'in', '<number>', 'million', 'more', 'muslims', '<number>', 'fucked', 'up', 'mps', 'are', 'all', 'for', 'it', 'know', 'thy', 'enemy']",sadiq khan a nasty paki muslim said this is part and parcel of life in london and wants all non muslims out of london so he can bring in <number> million more muslims <number> fucked up mps are all for it know thy enemy
461,African,"['well', 'we', 'finally', 'know', 'what', 'race', 'the', 'shooter', 'was', 'in', 'plano', 'tx', 'nigger', 'spencer', 'hight', 'who', 'shoots', 'mudshark', 'wife', 'after', 'she', 'files', 'for', 'divorce', 'nog', 'shoots', '<number>', 'people', 'dead', 'at', 'a', 'cowboys', 'watch', 'party', 'last', 'sunday', 'b4', 'is', 'shot', 'to', 'death', 'by', 'officer', 'mudshark']",well we finally know what race the shooter was in plano tx nigger spencer hight who shoots mudshark wife after she files for divorce nog shoots <number> people dead at a cowboys watch party last sunday b4 is shot to death by officer mudshark
462,Jewish,"['you', 'do', 'not', 'need', 'to', 'shut', 'up', 'i', 'like', 'when', 'you', 'talk', 'exposes', 'you', 'as', 'the', 'kike', 'loving', 'shill', 'that', 'you', 'are']",you do not need to shut up i like when you talk exposes you as the kike loving shill that you are
463,Jewish,"['says', 'the', 'kike', 'cunt', 'trying', 'to', 'charge', 'for', 'premium', 'content', 'how', 'that', 'working', 'for', 'you', '😆', 'obviously', 'nobody', 'gives', 'a', 'fuck', 'what', 'you', 'have', 'to', 'say', 'cuz', 'you', 'are', 'a', 'fucking', 'joke', 'go', 'blow', 'some', 'wetbacks', 'behind', 'the', 'burrito', 'stand', 'and', 'you', 'might', 'make', 'a', 'buck', 'lick', 'balls', 'heebhole', 'premium', 'cunt', 'contributor']",says the kike cunt trying to charge for premium content how that working for you 😆 obviously nobody gives a fuck what you have to say cuz you are a fucking joke go blow some wetbacks behind the burrito stand and you might make a buck lick balls heebhole premium cunt contributor
464,African,"['people', 'undergo', 'the', 'level', 'of', 'degradation', 'that', 'lee', 'ermey', 'dishes', 'out', 'just', 'to', 'be', 'on', 'tv', 'they', 'do', 'not', 'get', 'called', 'faggot', 'or', 'nigger', 'so', 'i', 'guess', 'that', 'makes', 'it', 'ok']",people undergo the level of degradation that lee ermey dishes out just to be on tv they do not get called faggot or nigger so i guess that makes it ok
465,African,"['do', 'not', 'call', 'me', 'a', 'nigger', 'i', 'am', 'white']",do not call me a nigger i am white
466,African,"['asshole', 'nigger', 'juan', 'williams', 'is', 'on', 'the', 'five', 'whining', 'about', 'media', 'manipulating', 'people', 'for', 'their', 'vote', 'in', 'the', 'modern', 'era', 'while', 'seemingly', 'forgetting', 'his', 'whole', 'reason', 'for', 'being', 'on', 'fox', 'is', 'to', 'try', 'to', 'manipulate', 'people', 'minds', 'to', 'get', 'their', 'votes', 'for', 'his', 'commie', 'partners', 'fuck', 'you', 'juan']",asshole nigger juan williams is on the five whining about media manipulating people for their vote in the modern era while seemingly forgetting his whole reason for being on fox is to try to manipulate people minds to get their votes for his commie partners fuck you juan
467,African,"['may', 'the', 'last', 'nigger', 'die', 'of', 'a', 'heart', 'attack', 'after', 'stabbing', 'the', 'last', 'cop', 'to', 'death', 'niggers', 'and', 'cops', 'two', 'enemies', 'of', 'white', 'men']",may the last nigger die of a heart attack after stabbing the last cop to death niggers and cops two enemies of white men
468,Islam,"['brexit', 'kick', 'out', 'sandnigger', 'child', 'rapists']",brexit kick out sandnigger child rapists
469,Islam,"['facebook', 'coddles', 'muzzie', 'terrorists', 'and', 'gives', 'them', 'a', 'forum', 'to', 'coordinate', 'attacks', 'facebook', 'is', 'an', 'accomplice', 'to', 'terrorism']",facebook coddles muzzie terrorists and gives them a forum to coordinate attacks facebook is an accomplice to terrorism
470,Homosexual,"['edgy', 'gg', 'stans', 'think', 'being', 'racist', 'is', 'ok', 'i', 'hate', 'faggots']",edgy gg stans think being racist is ok i hate faggots
471,African,"['nigger', 'is', 'not', 'something', 'we', 'use', 'it', 'just', 'is', 'not', 'but', 'since', 'they', 'say', 'we', 'can', 'not', 'say', 'it', 'i', 'like', 'to', 'show', 'them', 'that', 'we', 'can', 'see', 'miracles', 'do', 'happen', 'i', 'think', 'the', '<number>', 'big', 'dirty', 'words', 'are', 'nigger', 'kike', 'cunt', 'and', 'broke']",nigger is not something we use it just is not but since they say we can not say it i like to show them that we can see miracles do happen i think the <number> big dirty words are nigger kike cunt and broke
472,Islam,"['this', 'sumbitch', 'is', 'not', 'part', 'of', 'wtp', 'and', '<number>', 'stupid', 'motherfuckers', 'liking', 'his', 'post', 'these', 'bastards', 'are', 'not', 'awake', 'for', 'the', 'goddam', 'record', 'all', '<number>', 'billion', 'of', 'those', 'goat', 'fucking', 'moslem', 'bastards', 'needs', 'to', 'be', 'eradicated', 'from', 'the', 'planet', 'leave', 'none', 'alive', 'from', 'the', 'womb', 'to', 'the', 'tomb', 'they', 'gotta', 'go']",this sumbitch is not part of wtp and <number> stupid motherfuckers liking his post these bastards are not awake for the goddam record all <number> billion of those goat fucking moslem bastards needs to be eradicated from the planet leave none alive from the womb to the tomb they gotta go
473,African,"['weinstein', 'amazon', 'vox', 'gq', 'the', 'left', 'is', 'eating', 'itself', 'right', 'now', 'the', 'deathmatch', 'du', 'jour', 'is', 'lecherous', 'kikes', 'versus', 'cat', 'ladies', 'we', 'need', 'to', 'meme', 'a', 'race', 'war', 'between', 'nigs', 'and', 'beaners', 'for', '<number>']",weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is lecherous kikes versus cat ladies we need to meme a race war between nigs and beaners for <number>
474,other,"['rip', 'nehlen', 'he', 'may', 'be', 'married', 'to', 'a', 'beaner', 'and', 'a', 'christcuck', 'but', 'at', 'least', 'he', 'aiming', 'in', 'the', 'right', 'direction']",rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction
475,Islam,"['the', 'eu', 'will', 'not', 'even', 'offer', 'you', 'any', 'lube', 'just', 'dry', 'hump', 'europe', 'until', 'it', 'moslem', 'raw']",the eu will not even offer you any lube just dry hump europe until it moslem raw
476,African,"['why', 'is', 'a', 'black', 'power', 'nigger', 'fist', 'acceptable', 'but', 'a', 'roman', 'salute', 'is', 'not']",why is a black power nigger fist acceptable but a roman salute is not
477,other,"['he', 'spelled', 'prophet', 'as', 'profit', 'lol', 'you', 'are', 'talking', 'to', 'a', 'kike', 'bro']",he spelled prophet as profit lol you are talking to a kike bro
478,African,"['<user>', '<user>', '<user>', 'nah', 'boys', 'nah', 'im', 'out', 'niggers']",<user> <user> <user> nah boys nah im out niggers
479,other,"['was', 'this', 'a', 'fat', 'white', 'people', 'rally', 'or', 'purely', 'a', 'gook', 'zerg', 'rush']",was this a fat white people rally or purely a gook zerg rush
